 LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation
CN0608700000000,6,87,"Santa Cruz County, CA"
CN0608900000000,6,89,"Shasta County, CA"
CN0609100000000,6,91,"Sierra County, CA"
CN0609300000000,6,93,"Siskiyou County, CA"
CN0609500000000,6,95,"Solano County, CA"
CN0609700000000,6,97,"Sonoma County, CA"
CN0609900000000,6,99,"Stanislaus County, CA"
CN0610100000000,6,101,"Sutter County, CA"
CN0610300000000,6,103,"Tehama County, CA"
CN0610500000000,6,105,"Trinity County, CA"
CN0610700000000,6,107,"Tulare County, CA"
CN0610900000000,6,109,"Tuolumne County, CA"
CN0611100000000,6,111,"Ventura County, CA"
CN0611300000000,6,113,"Yolo County, CA"
CN0611500000000,6,115,"Yuba County, CA"
CN1100100000000,11,1,District of Columbia
CN5500100000000,55,1,"Adams County, WI"
CN5500300000000,55,3,"Ashland County, WI"
CN5500500000000,55,5,"Barron County, WI"
CN5500700000000,55,7,"Bayfield County, WI"
CN5500900000000,55,9,"Brown County, WI"
CN5501100000000,55,11,"Buffalo County, WI"
CN5501300000000,55,13,"Burnett County, WI"
CN5501500000000,55,15,"Calumet County, WI"
CN5501700000000,55,17,"Chippewa County, WI"
CN5501900000000,55,19,"Clark County, WI"
CN5502100000000,55,21,"Columbia County, WI"
CN5502300000000,55,23,"Crawford County, WI"
CN5502500000000,55,25,"Dane County, WI"
CN5502700000000,55,27,"Dodge County, WI"
CN5502900000000,55,29,"Door County, WI"
CN5503100000000,55,31,"Douglas County, WI"
CN5503300000000,55,33,"Dunn County, WI"
CN5503500000000,55,35,"Eau Claire County, WI"
CN5503700000000,55,37,"Florence County, WI"
CN5503900000000,55,39,"Fond du Lac County, WI"
CN5504100000000,55,41,"Forest County, WI"
CN5504300000000,55,43,"Grant County, WI"
CN5504500000000,55,45,"Green County, WI"
CN5504700000000,55,47,"Green Lake County, WI"
CN5504900000000,55,49,"Iowa County, WI"
CN5505100000000,55,51,"Iron County, WI"
CN5505300000000,55,53,"Jackson County, WI"
CN5505500000000,55,55,"Jefferson County, WI"
CN5505700000000,55,57,"Juneau County, WI"
CN5505900000000,55,59,"Kenosha County, WI"
CN5506100000000,55,61,"Kewaunee County, WI"
CN5506300000000,55,63,"La Crosse County, WI"
CN5506500000000,55,65,"Lafayette County, WI"
CN5506700000000,55,67,"Langlade County, WI"
CN5506900000000,55,69,"Lincoln County, WI"
CN5507100000000,55,71,"Manitowoc County, WI"
CN5507300000000,55,73,"Marathon County, WI"
CN5507500000000,55,75,"Marinette County, WI"
CN5507700000000,55,77,"Marquette County, WI"
CN5507800000000,55,78,"Menominee County, WI"
CN5507900000000,55,79,"Milwaukee County, WI"
CN5508100000000,55,81,"Monroe County, WI"
CN5508300000000,55,83,"Oconto County, WI"
CN5508500000000,55,85,"Oneida County, WI"
CN5508700000000,55,87,"Outagamie County, WI"
CN5508900000000,55,89,"Ozaukee County, WI"
CN5509100000000,55,91,"Pepin County, WI"
CN5509300000000,55,93,"Pierce County, WI"
CN5509500000000,55,95,"Polk County, WI"
CN5509700000000,55,97,"Portage County, WI"
CN5509900000000,55,99,"Price County, WI"
CN5510100000000,55,101,"Racine County, WI"
CN5510300000000,55,103,"Richland County, WI"
CN5510500000000,55,105,"Rock County, WI"
CN5510700000000,55,107,"Rusk County, WI"
CN5510900000000,55,109,"St. Croix County, WI"
CN5511100000000,55,111,"Sauk County, WI"
CN5511300000000,55,113,"Sawyer County, WI"
CN5511500000000,55,115,"Shawano County, WI"
CN5511700000000,55,117,"Sheboygan County, WI"
CN5511900000000,55,119,"Taylor County, WI"
CN5512100000000,55,121,"Trempealeau County, WI"
CN5512300000000,55,123,"Vernon County, WI"
CN5512500000000,55,125,"Vilas County, WI"
CN5512700000000,55,127,"Walworth County, WI"
CN5512900000000,55,129,"Washburn County, WI"
CN5513100000000,55,131,"Washington County, WI"
CN5513300000000,55,133,"Waukesha County, WI"
CN5513500000000,55,135,"Waupaca County, WI"
CN5513700000000,55,137,"Waushara County, WI"
CN5513900000000,55,139,"Winnebago County, WI"
CN5514100000000,55,141,"Wood County, WI"
